step,time,mid_price,reservation_price,half_spread,bid,ask,inventory,cash,wealth,lambda_bid,lambda_ask,prob_bid_fill,prob_ask_fill,bid_fill,ask_fill
0,0.0,100.0,,,,,0,0.0,0.0,,,,,False,False
1,0.01,100.15009023916129,100.0,4.9531017980432495,95.04689820195675,104.95310179804325,0,0.0,0.0,0.05649177332132819,0.05649177332132819,0.0005647581972335614,0.0005647581972335614,False,False
2,0.02,99.88965433778883,100.15009023916129,4.951101798043249,95.19898844111803,105.10119203720454,0,0.0,0.0,0.056604869926877265,0.056604869926877265,0.0005658885239275824,0.0005658885239275824,False,False
3,0.03,99.88629410628796,99.88965433778883,4.94910179804325,94.94055253974558,104.83875613583207,0,0.0,0.0,0.05671819295198232,0.05671819295198232,0.0005670211122549285,0.0005670211122549285,False,False
4,0.04,100.04185249337375,99.88629410628796,4.947101798043249,94.93919230824471,104.83339590433121,0,0.0,0.0,0.05683174284993401,0.05683174284993401,0.0005681559667382041,0.0005681559667382041,False,False
5,0.05,100.13535436182416,100.04185249337375,4.9451017980432495,95.0967506953305,104.986954291417,0,0.0,0.0,0.05694552007493287,0.05694552007493287,0.0005692930919092287,0.0005692930919092287,False,False
6,0.06,99.94357784165835,100.13535436182416,4.94310179804325,95.19225256378091,105.0784561598674,0,0.0,0.0,0.05705952508208877,0.05705952508208877,0.0005704324923085924,0.0005704324923085924,False,False
7,0.07,99.9066053689493,99.94357784165835,4.94110179804325,95.0024760436151,104.8846796397016,0,0.0,0.0,0.05717375832742027,0.05717375832742027,0.0005715741724863221,0.0005715741724863221,False,False
8,0.08,99.87569947253554,99.9066053689493,4.939101798043249,94.96750357090605,104.84570716699255,0,0.0,0.0,0.05728822026786131,0.05728822026786131,0.0005727181370011047,0.0005727181370011047,False,False
9,0.09,99.98216130964622,99.87569947253554,4.9371017980432494,94.9385976744923,104.81280127057879,0,0.0,0.0,0.05740291136126061,0.05740291136126061,0.0005738643904210639,0.0005738643904210639,False,False
10,0.1,100.06832551024779,99.98216130964622,4.93510179804325,95.04705951160297,104.91726310768946,0,0.0,0.0,0.05751783206638109,0.05751783206638109,0.0005750129373233159,0.0005750129373233159,False,False
11,0.11,99.96587696443348,100.06832551024779,4.933101798043249,95.13522371220454,105.00142730829104,0,0.0,0.0,0.05763298284290652,0.05763298284290652,0.0005761637822941923,0.0005761637822941923,False,False
12,0.12,100.19167142297765,99.96587696443348,4.931101798043249,95.03477516639023,104.89697876247672,0,0.0,0.0,0.05774836415144098,0.05774836415144098,0.000577316929928906,0.000577316929928906,False,False
13,0.13,100.0267751798394,100.19167142297765,4.929101798043249,95.2625696249344,105.1207732210209,0,0.0,0.0,0.057863976453508235,0.057863976453508235,0.0005784723848322182,0.0005784723848322182,False,False
14,0.14,100.13540603350044,100.0267751798394,4.92710179804325,95.09967338179615,104.95387697788266,0,0.0,0.0,0.057979820211558446,0.057979820211558446,0.0005796301516179936,0.0005796301516179936,False,False
15,0.15,100.1587431953286,100.13540603350044,4.925101798043249,95.2103042354572,105.06050783154369,0,0.0,0.0,0.05809589588896764,0.05809589588896764,0.0005807902349092009,0.0005807902349092009,False,False
16,0.16,100.20346230508353,100.1587431953286,4.92310179804325,95.23564139728535,105.08184499337185,0,0.0,0.0,0.05821220395003702,0.05821220395003702,0.0005819526393380237,0.0005819526393380237,False,False
17,0.17,100.26128618482153,100.20346230508353,4.921101798043249,95.28236050704028,105.12456410312679,0,0.0,0.0,0.058328744859999816,0.058328744859999816,0.0005831173695460823,0.0005831173695460823,False,False
18,0.18,100.19735194155007,100.26128618482153,4.919101798043249,95.34218438677829,105.18038798286477,0,0.0,0.0,0.05844551908502066,0.05844551908502066,0.000584284430184101,0.000584284430184101,False,False
19,0.19,100.14232349130474,100.19735194155007,4.91710179804325,95.28025014350682,105.11445373959332,0,0.0,0.0,0.058562527092194935,0.058562527092194935,0.00058545382591213,0.00058545382591213,False,False
20,0.2,100.33597916222303,100.14232349130474,4.915101798043249,95.22722169326148,105.05742528934799,0,0.0,0.0,0.05867976934955566,0.05867976934955566,0.0005866255613995452,0.0005866255613995452,False,False
21,0.21,100.36852977524403,100.33597916222303,4.913101798043249,95.42287736417978,105.24908096026627,0,0.0,0.0,0.05879724632607286,0.05879724632607286,0.0005877996413251596,0.0005877996413251596,False,False
22,0.22,100.52719922228401,100.36852977524403,4.91110179804325,95.45742797720078,105.27963157328728,0,0.0,0.0,0.05891495849165292,0.05891495849165292,0.0005889760703768898,0.0005889760703768898,False,False
23,0.23,100.69879439853544,100.52719922228401,4.90910179804325,95.61809742424076,105.43630102032726,0,0.0,0.0,0.05903290631714551,0.05903290631714551,0.0005901548532520895,0.0005901548532520895,False,False
24,0.24,100.47213695573474,100.69879439853544,4.907101798043249,95.7916926004922,105.60589619657868,0,0.0,0.0,0.05915109027434291,0.05915109027434291,0.0005913359946577712,0.0005913359946577712,False,False
25,0.25,100.50062210294885,100.47213695573474,4.905101798043249,95.56703515769149,105.37723875377799,0,0.0,0.0,0.05926951083597944,0.05926951083597944,0.0005925194993099403,0.0005925194993099403,False,False
26,0.26,100.5323300411642,100.50062210294885,4.90310179804325,95.5975203049056,105.4037239009921,0,0.0,0.0,0.059388168475738336,0.059388168475738336,0.0005937053719343721,0.0005937053719343721,False,False
27,0.27,100.62368508867569,100.5323300411642,4.901101798043249,95.63122824312096,105.43343183920744,0,0.0,0.0,0.05950706366825117,0.05950706366825117,0.0005948936172659458,0.0005948936172659458,False,False
28,0.28,100.54733750987602,100.62368508867569,4.899101798043249,95.72458329063244,105.52278688671893,0,0.0,0.0,0.05962619688909717,0.05962619688909717,0.0005960842400493105,0.0005960842400493105,False,False
29,0.29,100.45345704183548,100.54733750987602,4.897101798043249,95.65023571183276,105.44443930791927,0,0.0,0.0,0.05974556861481022,0.05974556861481022,0.0005972772450383301,0.0005972772450383301,False,False
30,0.3,100.54276327704147,100.45345704183548,4.89510179804325,95.55835524379222,105.34855883987873,0,0.0,0.0,0.059865179322877396,0.059865179322877396,0.0005984726369965276,0.0005984726369965276,False,False
31,0.31,100.45810361463265,100.54276327704147,4.893101798043249,95.64966147899823,105.43586507508472,0,0.0,0.0,0.05998502949174254,0.05998502949174254,0.0005996704206969738,0.0005996704206969738,False,False
32,0.32,100.16868112014804,100.45810361463265,4.89110179804325,95.5670018165894,105.3492054126759,0,0.0,0.0,0.06010511960080477,0.06010511960080477,0.0006008706009220655,0.0006008706009220655,False,False
33,0.33,100.24863596549272,100.16868112014804,4.889101798043249,95.27957932210478,105.0577829181913,0,0.0,0.0,0.060225450130425545,0.060225450130425545,0.0006020731824639691,0.0006020731824639691,False,False
34,0.34,100.50848162504994,100.24863596549272,4.88710179804325,95.36153416744948,105.13573776353597,0,0.0,0.0,0.060346021561928004,0.060346021561928004,0.0006032781701242884,0.0006032781701242884,False,False
35,0.35000000000000003,100.32175808904796,100.50848162504994,4.88510179804325,95.62337982700669,105.39358342309319,0,0.0,0.0,0.060466834377596305,0.060466834377596305,0.0006044855687142858,0.0006044855687142858,False,False
