run,barrier_hit,survived,steps_survived,final_wealth
0,0,1,500,16.506635941846582
1,1,0,100,-3.0739189325604315
2,0,1,500,25.324705733370195
3,0,1,500,27.394659640663235
4,0,1,500,21.739443412602242
5,0,1,500,13.60915264633499
6,0,1,500,24.71570444339791
7,1,0,206,10.201473458428808
8,0,1,500,9.626620281940717
9,0,1,500,13.917295845671447
10,0,1,500,18.953406182162524
11,1,0,128,7.379366275171819
12,0,1,500,28.551447001377596
13,0,1,500,20.318778995858622
14,1,0,35,-7.584819305745128
15,1,0,67,-6.376376412225724
16,0,1,500,20.98878230816382
17,0,1,500,15.773364847433214
18,1,0,437,7.5544795887892064
19,1,0,281,7.009499488054772
20,0,1,500,31.2930492792064
21,0,1,500,11.374400636903573
22,0,1,500,16.520099279037495
23,0,1,500,9.794351698158636
24,0,1,500,25.596097278981745
25,0,1,500,23.753545408701655
26,0,1,500,23.112024192865988
27,1,0,126,-7.076507831972805
28,0,1,500,23.042205875776418
29,0,1,500,24.25838168732085
30,1,0,164,6.1120810302659265
31,1,0,154,6.37802773304918
32,0,1,500,26.071432507093192
33,1,0,75,-5.35475713307828
34,1,0,262,1.1536510720488309
35,0,1,500,18.999083870908223
36,0,1,500,16.77548792123433
37,0,1,500,28.041601422904932
38,0,1,500,36.616433205090814
39,0,1,500,22.257502357552767
40,0,1,500,19.340478306244876
41,1,0,274,20.37387023878128
42,0,1,500,35.47844491463448
43,0,1,500,14.783968217621236
44,0,1,500,31.83899861943175
45,0,1,500,26.539026975670666
46,0,1,500,20.944400417496126
47,0,1,500,13.796036689420305
48,1,0,318,13.23876184480406
49,0,1,500,22.477945974578063
50,1,0,85,-8.591871746348218
51,0,1,500,7.646775023153481
52,0,1,500,14.265378808302813
53,0,1,500,26.907638146913683
54,1,0,121,-0.5679563671407664
55,1,0,446,5.456465685127796
56,0,1,500,27.617410581228313
57,0,1,500,28.088770210288203
58,0,1,500,24.747275718640367
59,1,0,230,-5.546945999465407
60,1,0,381,14.829718286039622
61,0,1,500,35.03290893574274
62,1,0,102,-4.60371934265018
63,0,1,500,30.468074251533608
64,1,0,163,0.772992801176656
65,0,1,500,20.213439932384205
66,1,0,165,-8.918656511264913
67,1,0,264,-0.0322490376226483
68,1,0,352,-2.5533239980135676
69,0,1,500,11.670343475452583
70,0,1,500,13.631378861936867
71,1,0,273,-4.996517593299814
72,1,0,378,21.607994329187193
73,0,1,500,23.0261049612391
74,1,0,52,-6.975016039330001
75,0,1,500,27.31394124814871
76,1,0,42,-5.744958949108451
77,0,1,500,7.975063071442605
78,0,1,500,22.52400893961058
79,0,1,500,27.76000603221263
80,1,0,264,-6.846781710541308
81,0,1,500,25.18320076599636
82,1,0,484,10.656160261741832
83,1,0,138,12.492444480779824
84,0,1,500,36.496043053055985
