time,survival
0,1.0
35,0.995
38,0.99
39,0.985
42,0.98
52,0.975
67,0.97
75,0.965
76,0.96
83,0.95
85,0.94
100,0.9349999999999999
101,0.9299999999999999
102,0.9249999999999999
107,0.92
108,0.915
109,0.91
121,0.905
126,0.9
128,0.895
138,0.89
145,0.885
154,0.88
158,0.875
159,0.87
163,0.86
164,0.855
165,0.85
174,0.845
192,0.84
202,0.835
206,0.83
208,0.825
218,0.82
228,0.8099999999999999
230,0.8049999999999999
243,0.7999999999999999
247,0.7949999999999999
250,0.7899999999999999
260,0.7849999999999999
262,0.7799999999999999
264,0.7699999999999999
273,0.7649999999999999
274,0.7599999999999999
281,0.7549999999999999
316,0.7499999999999999
318,0.7449999999999999
352,0.7399999999999999
355,0.7349999999999999
376,0.7299999999999999
378,0.7249999999999999
381,0.7199999999999999
385,0.7149999999999999
398,0.7099999999999999
405,0.7049999999999998
437,0.6949999999999998
446,0.6899999999999998
447,0.6849999999999998
484,0.6799999999999998
486,0.6749999999999998
500,0.6699999999999998
