time,survival
0,1.0
39,0.995
42,0.99
52,0.985
67,0.98
75,0.975
76,0.97
83,0.965
85,0.955
100,0.95
101,0.945
102,0.94
108,0.9349999999999999
121,0.9299999999999999
126,0.9249999999999999
128,0.92
138,0.915
145,0.91
146,0.905
157,0.9
158,0.895
159,0.89
163,0.88
165,0.875
177,0.87
192,0.865
201,0.86
202,0.855
208,0.85
228,0.84
250,0.835
264,0.825
273,0.82
286,0.815
300,0.8099999999999999
352,0.8049999999999999
355,0.7999999999999999
378,0.7949999999999999
385,0.7899999999999999
396,0.7849999999999999
412,0.7799999999999999
446,0.7749999999999999
482,0.7699999999999999
500,0.7699999999999999
