time,survival
0,1.0
15,0.999
20,0.998
21,0.997
27,0.996
33,0.995
34,0.994
35,0.993
36,0.992
39,0.991
42,0.988
45,0.987
47,0.985
48,0.984
49,0.983
50,0.982
52,0.98
55,0.979
56,0.978
58,0.977
59,0.975
60,0.974
64,0.973
67,0.972
69,0.971
71,0.969
72,0.967
75,0.964
76,0.963
77,0.962
78,0.961
81,0.96
82,0.959
83,0.955
84,0.954
85,0.952
86,0.95
91,0.949
92,0.948
93,0.945
95,0.943
96,0.942
100,0.94
101,0.939
102,0.938
104,0.9369999999999999
105,0.9359999999999999
106,0.9339999999999999
107,0.9319999999999999
108,0.9309999999999999
109,0.9299999999999999
111,0.9279999999999999
114,0.9269999999999999
118,0.9259999999999999
119,0.9249999999999999
121,0.9239999999999999
123,0.9219999999999999
126,0.9209999999999999
128,0.9199999999999999
133,0.9189999999999999
134,0.9179999999999999
135,0.9159999999999999
137,0.9149999999999999
138,0.9119999999999999
141,0.9109999999999999
144,0.9089999999999999
145,0.9069999999999999
146,0.9059999999999999
148,0.9049999999999999
149,0.9039999999999999
152,0.9019999999999999
154,0.8999999999999999
155,0.8989999999999999
157,0.8979999999999999
158,0.8959999999999999
159,0.8949999999999999
160,0.8919999999999999
161,0.8909999999999999
163,0.8879999999999999
165,0.8869999999999999
166,0.8859999999999999
167,0.8849999999999999
169,0.8829999999999999
170,0.8809999999999999
172,0.8799999999999999
173,0.8789999999999999
175,0.8769999999999999
177,0.8759999999999999
178,0.8749999999999999
181,0.8739999999999999
182,0.8729999999999999
184,0.8699999999999999
185,0.8689999999999999
186,0.8669999999999999
191,0.8659999999999999
192,0.8639999999999999
193,0.8629999999999999
197,0.8619999999999999
201,0.8609999999999999
202,0.8599999999999999
204,0.8589999999999999
206,0.8579999999999999
207,0.8559999999999999
208,0.8539999999999999
213,0.8529999999999999
219,0.8509999999999999
221,0.8499999999999999
222,0.8489999999999999
225,0.8469999999999999
226,0.8449999999999999
227,0.8439999999999999
228,0.8409999999999999
231,0.8389999999999999
232,0.8379999999999999
238,0.8359999999999999
241,0.8349999999999999
243,0.8339999999999999
245,0.8329999999999999
246,0.8319999999999999
248,0.8309999999999998
249,0.8299999999999998
250,0.8289999999999998
252,0.8279999999999998
256,0.8269999999999998
260,0.8259999999999998
264,0.8229999999999998
266,0.8219999999999998
267,0.8209999999999998
273,0.8189999999999998
274,0.8179999999999998
275,0.8169999999999998
276,0.8159999999999998
279,0.8149999999999998
280,0.8119999999999998
285,0.8109999999999998
286,0.8089999999999998
288,0.8079999999999998
291,0.8069999999999998
298,0.8059999999999998
299,0.8049999999999998
300,0.8039999999999998
301,0.8019999999999998
304,0.8009999999999998
305,0.7999999999999998
306,0.7989999999999998
316,0.7979999999999998
319,0.7969999999999998
320,0.7959999999999998
327,0.7939999999999998
330,0.7929999999999998
340,0.7919999999999998
344,0.7909999999999998
345,0.7899999999999998
347,0.7889999999999998
352,0.7879999999999998
355,0.7869999999999998
356,0.7859999999999998
365,0.7849999999999998
368,0.7839999999999998
375,0.7829999999999998
378,0.7819999999999998
384,0.7809999999999998
385,0.7789999999999998
388,0.7779999999999998
389,0.7769999999999998
396,0.7759999999999998
398,0.7749999999999998
411,0.7729999999999998
412,0.7719999999999998
418,0.7709999999999998
421,0.7699999999999998
424,0.7689999999999998
425,0.7669999999999998
429,0.7659999999999998
441,0.7649999999999998
443,0.7639999999999998
446,0.7619999999999998
449,0.7609999999999998
452,0.7599999999999998
457,0.7589999999999998
471,0.7579999999999998
474,0.7569999999999998
475,0.7559999999999998
478,0.7549999999999998
482,0.7539999999999998
500,0.7539999999999998
